TimeStamp;baseValue
638751425765546810;38825.6
638751425766048317;36922.13
638751425766546238;42295.67
638751425767048838;42295.67
638751425767547039;42295.67
638751425768046093;35783.8
638751425768554833;39749.2
638751425769054754;39749.2
638751425769554830;39749.2
638751425770056678;39893.73
638751425770549637;40561.46
638751425771058271;40561.46
638751425771549478;40561.46
638751425772063244;35872.07
638751425772561645;43350.8
638751425773058721;43350.8
638751425773561382;43350.8
638751425774059027;39690.8
638751425774557371;40395.33
638751425775063546;40395.33
638751425775561713;40395.33
638751425776066921;41602.8
638751425776560128;38940.6
638751425777067740;38940.6
638751425777565851;38940.6
638751425778093197;39461.46
638751425778595180;43155.2
638751425779092473;43155.2
638751425779590545;43155.2
638751425780095648;39644.0
638751425780589115;39091.87
638751425781093526;39091.87
638751425782090371;39070.4
638751425782598780;39070.4
638751425783097651;41203.93
638751425783595162;37038.0
638751425784092003;37038.0
638751425784606490;37038.0
638751425887325269;36451.87
638751425888824526;43182.67
638751425890825128;36778.33
638751425891325105;36778.33
638751425891817643;36778.33
638751425892330596;38418.13
638751425892832759;38418.13
638751425893331081;38418.13
638751425893829188;40105.4
638751425894333785;39610.93
638751425894827113;39610.93
638751425895326336;44232.54
638751425895838475;41306.27
638751425896332292;41306.27
638751425896839131;41954.8
638751425897331739;41682.87
638751425897849066;41682.87
638751425898390398;41804.67
638751425898868289;37126.2
638751425899368591;37126.2
638751425899861095;37126.2
638751425900361078;40694.27
638751425900870149;40694.27
638751425901360170;38971.46
638751425901873272;42712.54
638751425902371175;42712.54
638751425902866872;42712.54
638751425903365439;40092.13
638751425903864079;40092.13
638751425904382441;40092.13
638751425904877417;42178.27
638751425905380878;40670.0
638751425905891140;40670.0
638751425906384772;40739.8
638751425906899711;40847.13
638751425907408924;40847.13
638751425907902345;39811.87
638751425908405144;41972.0
638751425908917528;41972.0
638751425909416023;41637.46
638751426029008628;39393.6
638751426029508634;39007.2
638751426030007012;39007.2
638751426030506395;39007.2
638751426031009010;37628.67
638751426031506937;37628.67
638751426032010943;37628.67
638751426032503632;41260.67
638751426033002693;36292.4
638751426033511274;36292.4
638751426034008454;42321.73
638751426034508716;43926.8
638751426035006222;43926.8
638751426035505673;43926.8
638751426036034637;39258.8
638751426036511825;35885.33
638751426037009407;35885.33
638751426037514019;35885.33
638751426038011088;42074.13
638751426038515479;41305.33
638751426039008937;41305.33
638751426039513471;41305.33
638751426040011325;38352.93
638751426040510823;38352.93
638751426041013356;38352.93
638751426041516319;40582.13
638751426042013635;41458.13
638751426042511891;41458.13
638751426043009914;38997.67
638751426043517338;38549.93
638751426044017459;38549.93
638751426044526299;38549.93
638751426045020128;40868.93
638751426045525536;41655.07
638751426046019888;41655.07
638751426046526794;40952.27
638751426047021162;35566.13
638751426047523240;35566.13
638751426048027854;40262.13
638751426049525821;40345.07
638751426051036649;43041.13
638751426051538923;43041.13
638751426052037891;43041.13
638751426053034963;40236.54
638751426053538934;40236.54
638751426054036160;41002.27
638751426054539219;34609.6
638751426055037731;37148.13
638751426055550040;37148.13
638751426056052306;40253.6
638751426056551895;39692.8
638751426057050047;44063.73
638751426057549740;44063.73
638751426058053043;39153.07
638751426058552028;41461.33
638751426059049967;41461.33
638751426059548509;41461.33
638751426060051236;42826.8
638751426060553678;38465.33
638751426061052234;38465.33
638751426061550254;35597.93
638751426062050131;39674.0
638751426062548292;39674.0
638751426063048682;39674.0
638751426063548813;45202.0
638751426064052231;41350.0
638751426064551880;41350.0
638751426065050446;39782.6
638751426065559525;41378.0
638751426066071831;43879.33
638751426066564892;43879.33
638751426067057169;40688.93
638751426067561313;40751.07
638751426068059328;38604.54
638751426068562671;38604.54
638751426069064515;44166.27
638751427419782540;36802.67
638751427420286945;34427.33
638751427420785080;34427.33
638751427421284300;35661.87
638751427421784331;41130.93
638751427423285881;36265.07
638751427426788004;35299.73
638751427427291510;35299.73
638751427427791338;35299.73
638751427428286970;44533.87
638751427428785026;44533.87
638751427429283546;44533.87
638751427429791068;36386.54
638751427430294584;41214.27
638751427430791065;41214.27
638751427431295261;41214.27
638751427431793956;36126.67
638751427432287945;44085.73
638751427432807200;44085.73
638751427433300409;44807.67
638751427433810148;35848.54
638751427434308318;35848.54
638751427434802209;35380.67
638751427435320121;39399.73
638751427435819904;39399.73
638751427436317974;34910.93
638751427436811540;34910.93
638751427437319836;34910.93
638751427437812916;35038.4
638751427438311357;34832.4
638751427438819493;34832.4
638751427439317157;35440.54
638751427439826072;44001.87
638751427440318649;44001.87
638751427440825810;44001.87
638751427441325575;40702.0
638751427441818287;40702.0
638751427442321656;40702.0
638751427442824575;38406.13
638751427443322181;38406.13
638751427443826138;38406.13
638751427444325641;35471.87
638751427444826269;35936.13
638751427445320364;35936.13
638751427445817994;35329.6
638751427446335597;35329.6
638751427446827734;35329.6
638751427447329719;34864.87
638751427447832887;34864.87
638751427448334358;34864.87
638751427448839562;35459.46
638751427449338658;35598.93
638751427449841266;35598.93
638751427450340455;35598.93
638751427450833748;46135.73
638751427451336066;42637.07
638751427451839169;42637.07
638751427452338646;34888.0
638751427452841548;45359.33
638751427453338174;45359.33
638751427453835864;45359.33
638751427454332749;38583.67
638751427555231585;38455.33
638751427555742483;38455.33
638751427556240407;38455.33
638751427556741050;34846.54
638751427557241710;37708.8
638751427557744739;37708.8
638751427558245780;37708.8
638751427558740818;42177.2
638751427559237348;39458.54
638751427559742936;39458.54
638751427560245935;44401.13
638751427560749167;36069.2
638751427561250962;36069.2
638751427561757660;36069.2
638751427562259922;37994.0
638751427562753624;43624.13
638751427563261910;43624.13
638751427563763551;43624.13
638751427564261853;35078.54
638751427564764012;39657.54
638751427565260113;39657.54
638751427565756831;39657.54
638751427566272011;41810.13
638751427566775231;41810.13
638751427567274954;41810.13
638751427567777427;38160.54
638751427568275654;40034.93
638751427568790461;40034.93
638751427569280824;38341.6
638751427569784960;36359.73
638751427570284122;36359.73
638751427570786895;35381.2
638751427571283268;35404.54
638751427571790688;35404.54
638751427572284603;37059.87
638751427572788783;37059.87
638751427573284990;37059.87
638751427573789254;37189.33
638751427574283769;45460.4
638751427574788739;45460.4
